distance,event_type,orientation,length,width,depth,joint_number,comments,year
93.369,attachment,150.0,,,,50,,2022
114.291,attachment,180.0,,,,75,,2022
125.902,metal loss,171.0,3.4,1.8,17.0,75,,2022
126.378,metal loss,271.5,7.0,6.1,29.0,75,,2022
128.583,metal loss,139.5,2.4,2.6,21.0,75,,2022
128.839,metal loss,179.5,3.0,4.0,30.0,75,,2022
143.373,metal loss,345.0,3.4,6.9,32.0,80,,2022
143.648,metal loss,30.0,0.7,2.2,25.0,80,,2022
143.655,metal loss,256.5,3.1,3.1,12.0,80,,2022
143.675,metal loss,135.0,2.4,2.1,21.0,80,,2022
146.289,metal loss,254.49999999999997,4.1,6.1,23.0,90,,2022
146.46,metal loss,359.0,1.2,2.0,20.0,90,,2022
175.384,metal loss,243.5,5.7,2.9,15.0,90,,2022
265.167,metal loss,361.5,2.1,3.4,23.0,120,,2022
271.224,attachment,180.0,,,,130,,2022
423.104,metal loss,339.0,2.2,2.0,13.0,200,,2022
423.573,metal loss,331.0,2.4,1.0,12.0,200,,2022
429.213,metal loss,84.5,2.3,2.9,15.0,200,,2022
440.804,metal loss,190.5,15.0,8.8,15.0,215,,2022
488.245,metal loss,167.5,3.3,1.5,14.0,230,,2022
526.923,metal loss,88.5,2.6,1.7,17.0,230,,2022
528.468,metal loss,211.0,14.9,19.6,23.0,240,,2022
529.121,metal loss,258.5,14.0,8.4,11.0,240,,2022
529.291,metal loss,126.5,2.5,2.0,18.0,240,,2022
534.111,metal loss,271.0,1.5,3.4,27.0,240,,2022
534.537,metal loss,268.0,4.1,1.8,12.0,240,,2022
535.066,metal loss,265.0,2.7,1.4,15.0,240,,2022
535.604,metal loss,263.0,1.6,1.3,16.0,240,,2022
535.984,metal loss,263.0,1.9,2.3,15.0,240,,2022
567.247,metal loss,138.0,2.5,2.8,13.0,240,,2022
567.743,metal loss,137.5,2.5,2.4,16.0,240,,2022
571.024,metal loss,179.0,2.0,1.9,13.0,250,,2022
572.487,metal loss,180.5,2.8,2.3,11.0,250,,2022
573.501,metal loss,179.0,1.1,2.7,16.0,250,,2022
576.512,metal loss,190.5,4.6,5.2,13.0,250,,2022
578.927,metal loss,184.0,1.2,3.5,18.0,250,,2022
579.436,metal loss,184.0,4.5,1.9,13.0,250,,2022
582.818,metal loss,186.0,1.6,1.0,12.0,250,,2022
584.373,metal loss,175.5,2.6,3.6,11.0,250,,2022
589.127,metal loss,184.0,9.3,4.8,11.0,250,,2022
592.635,metal loss,182.0,4.1,3.8,13.0,250,,2022
594.442,metal loss,181.0,1.6,1.0,11.0,250,,2022
595.433,metal loss,178.0,1.5,1.0,13.0,250,,2022
607.72,metal loss,289.0,3.1,1.6,11.0,250,,2022
608.435,metal loss,275.5,2.5,4.0,17.0,250,,2022
609.058,metal loss,309.0,3.8,1.3,13.0,260,,2022
609.17,metal loss,131.0,10.4,4.0,13.0,260,,2022
609.364,metal loss,249.5,4.1,4.6,18.0,260,,2022
610.059,metal loss,91.5,4.5,3.8,21.0,260,,2022
639.085,metal loss,170.5,2.4,1.5,33.0,260,,2022
639.094,metal loss,90.5,2.6,3.6,17.0,260,,2022
639.177,metal loss,137.5,3.0,3.1,25.0,260,,2022
639.357,attachment,150.0,,,,260,,2022
657.119,metal loss,175.0,3.1,3.7,39.0,280,,2022
658.333,metal loss,271.0,5.2,5.1,23.0,290,,2022
658.576,metal loss,307.5,3.3,3.4,17.0,290,,2022
671.037,metal loss,147.5,8.1,6.9,17.0,290,,2022
671.365,metal loss,268.0,12.1,10.2,26.0,290,,2022
681.726,metal loss,95.0,3.3,6.5,24.0,310,,2022
789.035,metal loss,145.5,18.5,4.1,12.0,370,,2022
792.402,metal loss,140.5,22.9,4.2,14.0,370,,2022
795.64,metal loss,149.0,13.5,4.1,13.0,370,,2022
797.054,metal loss,147.0,10.4,5.0,10.0,370,,2022
802.421,metal loss,143.5,14.0,1.1,12.0,370,,2022
807.822,metal loss,144.0,7.0,1.8,16.0,370,,2022
814.35,metal loss,145.5,10.2,1.3,12.0,370,,2022
824.36,metal loss,151.0,20.0,1.6,10.0,370,,2022
932.083,metal loss,183.5,8.2,2.4,11.0,400,,2022
958.524,metal loss,61.0,4.8,3.8,23.0,410,,2022
959.997,metal loss,100.0,15.0,7.2,28.0,420,,2022
1191.788,metal loss,130.0,6.1,2.9,13.0,480,,2022
1193.35,metal loss,133.5,3.3,0.9,14.0,480,,2022
1194.163,metal loss,135.5,2.3,1.9,11.0,480,,2022
1195.889,metal loss,134.5,0.7,2.2,13.0,480,,2022
1196.178,metal loss,132.0,0.6,0.7,14.0,480,,2022
1196.414,metal loss,134.0,0.7,1.0,11.0,480,,2022
1197.336,metal loss,128.5,0.6,0.2,11.0,480,,2022
1197.887,metal loss,129.5,10.4,3.1,12.0,480,,2022
1200.469,metal loss,175.5,8.3,1.7,11.0,480,,2022
1200.607,metal loss,129.0,2.6,1.6,12.0,480,,2022
1201.335,metal loss,177.0,1.2,2.6,11.0,480,,2022
1202.021,metal loss,177.5,4.3,2.2,18.0,480,,2022
1204.603,metal loss,171.5,0.5,0.7,13.0,490,,2022
1207.49,metal loss,174.0,0.6,0.9,12.0,490,,2022
1207.726,metal loss,178.0,4.2,3.9,18.0,490,,2022
1208.248,metal loss,179.5,1.0,3.1,14.0,490,,2022
1208.707,metal loss,180.5,9.0,3.3,14.0,490,,2022
1209.767,metal loss,177.5,0.4,1.5,18.0,490,,2022
1210.246,metal loss,183.5,0.5,0.5,12.0,490,,2022
1210.951,metal loss,183.5,5.8,0.9,13.0,490,,2022
1212.149,metal loss,176.5,5.1,2.0,18.0,490,,2022
1212.887,metal loss,176.0,5.6,2.9,14.0,490,,2022
1213.57,metal loss,180.0,9.6,4.3,13.0,490,,2022
1214.626,metal loss,181.5,5.0,3.0,10.0,490,,2022
1217.598,metal loss,177.0,5.0,1.8,11.0,490,,2022
1218.251,metal loss,182.5,1.3,1.4,15.0,490,,2022
1218.773,metal loss,175.0,3.4,2.5,16.0,490,,2022
1219.623,metal loss,180.0,8.9,3.5,15.0,490,,2022
1220.551,metal loss,173.0,0.7,0.2,12.0,490,,2022
1221.821,metal loss,176.5,0.7,0.5,11.0,490,,2022
1222.119,metal loss,179.0,4.3,1.5,14.0,490,,2022
1223.14,metal loss,182.0,6.5,3.0,13.0,490,,2022
1224.596,metal loss,188.0,0.4,0.5,14.0,490,,2022
1225.246,metal loss,181.5,2.9,3.6,11.0,490,,2022
1225.925,metal loss,183.5,0.4,2.8,19.0,490,,2022
1227.602,metal loss,185.0,2.2,2.8,11.0,490,,2022
1228.986,metal loss,178.5,3.5,3.5,11.0,490,,2022
1241.355,metal loss,192.0,1.9,1.3,12.0,490,,2022
1242.343,metal loss,193.5,7.4,3.0,15.0,490,,2022
1459.432,metal loss,43.0,7.2,2.3,13.0,550,,2022
1463.136,metal loss,30.0,6.5,2.2,18.0,550,,2022
1471.148,metal loss,35.5,6.0,1.4,15.0,550,,2022
1678.927,metal loss,202.5,2.2,1.7,18.0,600,,2022
1679.626,metal loss,240.50000000000003,3.3,3.2,18.0,600,,2022
1680.213,metal loss,233.0,10.3,5.3,29.0,610,,2022
1680.709,metal loss,375.5,2.3,3.1,22.0,610,,2022
1680.778,metal loss,285.0,1.7,1.5,30.0,610,,2022
1680.892,metal loss,199.5,3.4,2.6,22.0,610,,2022
1681.184,metal loss,145.0,1.4,1.3,22.0,610,,2022
2103.645,metal loss,349.5,1.2,2.1,25.0,710,,2022
2104.938,metal loss,351.0,1.2,1.2,19.0,710,,2022
2105.118,metal loss,377.0,3.0,1.1,19.0,710,,2022
2105.367,metal loss,352.0,1.0,1.3,13.0,710,,2022
2106.148,metal loss,350.5,1.0,1.1,23.0,710,,2022
2111.266,metal loss,358.5,2.0,0.8,19.0,720,,2022
